[2017-01-09 09:28:08-08:00] 614.423313394 USD => 12.859016421 DOGE (USD=1.000000000, DOGE=47.733735614, Exchange_1)
--- comment example (belongs to the transaction above)
--- supports multiple comments
--- this input file was generated with random data
--- input format:
--- [{datetime_with_timezone_offset}] {asset_1_volume} {asset_1_symbol} => \
---         {asset_2_volume_after_fees} {asset_2_symbol} ({asset_1_symbol}={asset_1_price_usd}, \
---         {asset_2_symbol}={asset_2_price_usd}, {exchange_name})
[2017-01-11 18:55:19-08:00] 1.654471047 DOGE => 53.669086258 USD (DOGE=32.601827794, USD=1.000000000, Exchange_3)
[2017-02-08 01:57:13-08:00] 20.173065887 USD => 1.608978275 DOGE (USD=1.000000000, DOGE=12.475122175, Exchange_2)
[2017-02-18 20:33:32-08:00] 12.587598398 USD => 0.839898417 BTC (USD=1.000000000, BTC=14.912113362, Exchange_3)
[2017-03-28 17:27:19-07:00] 7.650009196 DOGE => 6.398270275 ETH (DOGE=77.960146257, ETH=92.279921300, Exchange_3)
[2017-04-05 04:38:34-07:00] 0.167086554 BTC => 0.094497435 ETH (BTC=45.472507274, ETH=80.000640763, Exchange_2)
[2017-04-13 21:20:02-07:00] 17.895834664 USD => 0.576730454 DOGE (USD=1.000000000, DOGE=30.719508894, Exchange_2)
[2017-04-16 21:53:59-07:00] 2.117348480 ETH => 3.030590073 BTC (ETH=88.866729384, BTC=61.777086557, Exchange_3)
[2017-04-21 04:01:11-07:00] 3.664611267 ETH => 3.278279204 BTC (ETH=80.505406048, BTC=89.542682206, Exchange_1)
[2017-05-05 14:23:53-07:00] 0.711856995 USD => 0.027976207 DOGE (USD=1.000000000, DOGE=25.419641175, Exchange_3)
[2017-06-19 06:44:35-07:00] 1.976016359 USD => 0.093088749 DOGE (USD=1.000000000, DOGE=21.121094618, Exchange_3)
[2017-06-19 11:45:57-07:00] 0.278256924 USD => 0.004499153 BTC (USD=1.000000000, BTC=61.537284698, Exchange_2)
[2017-08-01 18:46:32-07:00] 5.957490190 BTC => 402.050524710 USD (BTC=67.554115052, USD=1.000000000, Exchange_2)
[2017-09-06 13:59:05-07:00] 2.056711780 DOGE => 180.404171470 USD (DOGE=88.600861619, USD=1.000000000, Exchange_3)
[2017-09-16 10:20:59-07:00] 0.456973536 BTC => 38.472195957 USD (BTC=84.273384811, USD=1.000000000, Exchange_2)
[2017-09-29 18:12:46-07:00] 0.445889084 ETH => 0.398120865 DOGE (ETH=28.945509080, DOGE=32.256420682, Exchange_2)
[2017-10-11 08:53:36-07:00] 0.061184056 ETH => 0.086239274 DOGE (ETH=82.389976985, DOGE=57.868569285, Exchange_2)
[2017-11-26 23:46:00-08:00] 607.741543437 USD => 18.247166577 BTC (USD=1.000000000, BTC=32.973016685, Exchange_1)
[2017-12-31 10:18:48-08:00] 0.044970855 ETH => 0.039921856 BTC (ETH=43.110255282, BTC=48.076871941, Exchange_1)
[2018-01-27 22:58:47-08:00] 3.027519196 DOGE => 172.308386858 USD (DOGE=56.971023656, USD=1.000000000, Exchange_2)
[2018-02-08 11:38:34-08:00] 27.657080378 USD => 5.056866945 ETH (USD=1.000000000, ETH=5.463743381, Exchange_2)
[2018-02-09 04:39:22-08:00] 1.013708140 DOGE => 1.997527180 BTC (DOGE=58.879255171, BTC=29.581332877, Exchange_1)
[2018-02-16 15:59:40-08:00] 0.181452130 DOGE => 16.910889156 USD (DOGE=93.290814203, USD=1.000000000, Exchange_2)
